Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
FERNANDÓPOLIS,351550,0.797,2.914874,69680,549.797,1.2673768681895317,0.02040133779264214,0.14615384615384616,NA,NA,NA,41,NA
FERNÃO,351565,0.703,2.935998,1739,100.504,0.17302793918650003,0,0.3125,NA,NA,NA,56,NA
FERRAZ DE VASCONCELOS,351570,0.738,1.634403,198661,29.564,67.196928697064,0.032882414151925075,0.17023933402705516,NA,NA,NA,41,NA
FLORA RICA,351580,0.727,2.532916,1397,224.711,0.062168741183119644,0.04,0.16,NA,NA,NA,44,NA
FLOREAL,351590,0.747,2.180607,2884,204.236,0.1412091893691612,0.02,0.16,NA,NA,NA,38.5,NA
FLÓRIDA PAULISTA,351600,0.715,1.4264370000000002,14936,524.138,0.28496312039958943,0.015625,0.140625,NA,NA,NA,41,NA
FLORÍNEA,351610,0.713,5.042289,2631,225.886,0.11647468191919819,0.03333333333333333,0.13333333333333333,NA,NA,NA,38.5,NA
FRANCA,351620,0.78,2.8518779999999997,358539,605.679,5.919620789229939,0.03127819548872181,0.12210526315789473,NA,NA,NA,41,NA
FRANCISCO MORATO,351630,0.703,0.8719399999999999,179372,49.001,36.60578355543765,0.05164765525982256,0.1603295310519645,NA,NA,NA,38,NA
FRANCO DA ROCHA,351640,0.731,1.965005,158438,132.775,11.932818678215027,0.04257703081232493,0.11988795518207283,NA,NA,NA,39,NA
GABRIEL MONTEIRO,351650,0.763,2.669971,2776,138.681,0.2001716168761402,0.09302325581395349,0.16279069767441862,NA,NA,NA,45,NA
GÁLIA,351660,0.709,2.164397,6419,355.914,0.18035255707839537,0.05714285714285714,0.3,NA,NA,NA,42,NA
GARÇA,351670,0.769,2.687437,44429,555.807,0.799360209569149,0.027379400260756193,0.08735332464146023,NA,NA,NA,38,NA
GASTÃO VIDIGAL,351680,0.723,1.6095700000000002,4911,180.569,0.2719735945815727,0.13793103448275862,0.3333333333333333,NA,NA,NA,54,NA
GAVIÃO PEIXOTO,351685,0.719,18.628772,4841,243.766,0.19859209241649778,0.0041841004184100415,0.1087866108786611,NA,NA,NA,32,NA
